name,winery,variety,region,country,vintage,rating,price,type,body,acidity,food_pairings
Tinta Roriz,Quinta do Estanho,Tinta Roriz,Douro,Portugal,,4.38,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Nélita Rosé,Lemos,Alfrocheiro Preto,Dão,Portugal,,4.06,,Rosé,Full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Espumante Touriga Nacional Bruto,Quinta de Sant'Ana,Touriga Nacional,Lisboa,Portugal,,4.25,,Sparkling,Full-bodied,Medium,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Reserva Tinto,Quinta da Devesa,Touriga Nacional,Douro,Portugal,,4.11,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Reserva Tinto,Quinta da Basilia,Touriga Nacional,Douro,Portugal,,4.1,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Grande Reserva,Herdade da Calada,Alicante Bouschet,Alentejano,Portugal,,4.59,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Colheita Porto,Andresen,Touriga Nacional,Douro,Portugal,,4.22,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
20 Years Old Tawny Port,Romariz,Touriga Nacional,Porto,Portugal,,4.3,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Cancela Abreu & Riba D'Ave Encruzado Reserva Branco,Raul A. Riba d'Ave,Encruzado,Douro,Portugal,,4.09,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Touriga Franca,100 Hectares,Touriga Franca,Douro,Portugal,,4.25,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Poças Fora da Série Touriga Nacional,Poças,Touriga Nacional,Porto,Portugal,,4.2,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Grande Reserva,Casa da Ínsua,Touriga Nacional,Dão,Portugal,,4.31,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Reserva Tinto,Cave Real,Touriga Nacional,Douro,Portugal,,4.37,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Convento Velho Grande Reserva,Tiago Cabaço,Syrah/Shiraz,Alentejano,Portugal,,4.27,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Torna Grande,São Domingos,Touriga Nacional,Beiras,Portugal,,4.33,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Tawny Porto,Taylor's,Tinta Roriz,Porto,Portugal,,4.37,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Don Pable Late Bottled Vintage Porto,C. da Silva,Touriga Franca,Porto,Portugal,,4.0,,Dessert/Port,Very full-bodied,High,"['Beef', 'Sweet Dessert', 'Soft Cheese']"
Fragmentado Tinto,Titan of Douro,Touriga Nacional,Douro,Portugal,,4.64,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Reserva Branco,Quinta da Vacaria,Côdega de Larinho,Douro,Portugal,,4.47,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Touriga Nacional,Casa da Esteira,Touriga Nacional,Douro,Portugal,,4.14,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Colheita Canteiro Single Cask 113 b+e,Barbeito,Tinta Negra Mole,Madeira,Portugal,,4.63,,Dessert,Very full-bodied,High,"['Sweet Dessert', 'Appetizer', 'Snack']"
Grande Reserva,Cartularium,Touriga Nacional,Douro,Portugal,,4.23,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Porto Valente 40 Years Old Tawny Port,Messias,Tinto Cão,Porto,Portugal,,4.5,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Rola-Pipa Reserva Arinto dos Açores,Adega do Vulcao,Arinto dos Açores,Pico,Portugal,,4.57,,White,Medium-bodied,High,"['Pasta', 'Pork', 'Shellfish', 'Lean Fish']"
Pousada Late Bottled Vintage Porto,Poças,Touriga Nacional,Porto,Portugal,,4.07,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Invincible Número Dois Branco,Companhia de Vinhos Invencível,Rabigato,Douro,Portugal,,4.0,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Reserva Alvarinho,Quinta da Pedra,Alvarinho,Douro,Portugal,,4.17,,White,Very light-bodied,High,"['Shellfish', 'Vegetarian', 'Appetizer', 'Snack']"
I,Vinhos Imperfeitos,Malvasia Fina,Vinho Verde,Portugal,,4.6,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Reserva Tinta Roriz,D. Graça,Tinta Roriz,Douro,Portugal,,4.27,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Reserva Alentejano Tinto,Infinitae,Aragonez,Alentejano,Portugal,,4.54,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Reserve Port,W. & J. Graham's,Touriga Nacional,Porto,Portugal,,4.11,,Dessert/Port,Very full-bodied,High,"['Beef', 'Sweet Dessert', 'Blue Cheese']"
Casal Seixas Sobral Grande Reserva Touriga Nacional,Quinta do Penedo do Salto-Ariso,Touriga Nacional,Douro,Portugal,,4.07,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Grande Reserva Touriga Nacional,Teoria,Touriga Nacional,Douro,Portugal,,4.04,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Vintage Port,Quinta Casa Amarela,Tinta Roriz,Porto,Portugal,,4.5,,Dessert/Port,Very full-bodied,Low,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Grande Reserva,Entre Vinhas,Touriga Nacional,Beira Interior,Portugal,,4.32,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Blunissima Tinto,Monte Bluna,Aragonez,Arruda,Portugal,,4.54,,Red,Full-bodied,High,"['Beef', 'Pasta', 'Veal', 'Poultry']"
Quinta da Galeira Vintage Porto,Barros,Tinta Barroca,Porto,Portugal,,4.21,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Costureiro Tinto,Foz Tua,Tinta Roriz,Douro,Portugal,,4.35,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Coleção da Familia Moscatel Roxo,Quinta do Piloto,Muscat/Moscatel Roxo,Península de Setúbal,Portugal,,4.29,,White,Medium-bodied,High,"['Pasta', 'Pork', 'Shellfish', 'Lean Fish']"
Ribeiro Real 20 Years Old Medium Sweet Tinta Negra Madeira,Barbeito,Tinta Negra Mole,Madeira,Portugal,,4.32,,Dessert/Port,Very full-bodied,High,"['Sweet Dessert', 'Appetizer', 'Snack']"
Douro Paulo Coutinho Portal Grande Reserve,Dionisio Chaves,Touriga Nacional,Douro,Portugal,,4.07,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Single Cask Moscatel Roxo,Horácio Simões,Muscat/Moscatel Roxo,Setúbal,Portugal,,4.54,,Dessert,Very full-bodied,High,"['Sweet Dessert', 'Blue Cheese']"
Blog Branco,Tiago Cabaço,Malvasia,Alentejano,Portugal,,4.43,,White,Medium-bodied,High,"['Pasta', 'Pork', 'Shellfish', 'Lean Fish']"
Monsaraz Museu Aberto Reserva Alentejo,Carmim,Aragonez,Alentejo,Portugal,,4.04,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Prime's Port Colheita,Messias,Touriga Nacional,Porto,Portugal,,4.23,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Alvarinho-Loureiro,Nande's,Loureiro,Vinho Verde,Portugal,,4.12,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Vertigo Hot Lips Douro,Quinta do Pôpa,Tinta Barroca,Douro,Portugal,,4.35,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Colheita Porto,Quinta do Tedo,Touriga Franca,Porto,Portugal,,4.35,,Dessert/Port,Very full-bodied,High,"['Beef', 'Sweet Dessert', 'Blue Cheese']"
Ouro Côa Touriga Nacional,Adega Cooperative de Vila Nova de Foz Coa,Touriga Nacional,Douro,Portugal,,4.15,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Touriga-Fêmea,Casa Ferreirinha,Touriga Nacional,Douro,Portugal,,4.58,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
As Tourigas,Quinta de Vale de Pios,Touriga Nacional,Douro,Portugal,,4.27,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
20 Years Old Malvasia Lote 14050,Barbeito,Malvasia,Madeira,Portugal,,4.27,,Dessert/Port,Very full-bodied,High,"['Sweet Dessert', 'Appetizer', 'Snack']"
Ribeiro Real Lote 1 20 Years Old Verdelho Madeira,Barbeito,Verdelho,Verdelho Madeira,Portugal,,4.69,,Dessert/Port,Very full-bodied,High,"['Sweet Dessert', 'Appetizer', 'Snack']"
Touriga Nacional-Shiraz Special Selection,DJF Vinhos,Touriga Nacional,Lisboa,Portugal,,4.12,,Red,Full-bodied,High,"['Beef', 'Pasta', 'Veal', 'Poultry']"
Viognier,Dona Dorinda,Viognier,Alentejo,Portugal,,4.69,,White,Medium-bodied,High,"['Pasta', 'Pork', 'Shellfish', 'Lean Fish']"
Prime Selection Vinho Verde Branco,Casal de Ventozela,Alvarinho,Vinho Verde,Portugal,,4.15,,White,Very light-bodied,High,"['Shellfish', 'Vegetarian', 'Appetizer', 'Snack']"
Artesano by Helena,Elite Vinhos,Alicante Bouschet,Alentejano,Portugal,,4.31,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Grande Reserva Alvarinho,Quinta Edmun do Val,Alvarinho,Minho,Portugal,,4.23,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Grande Reserva,Timing,Touriga Nacional,Douro,Portugal,,4.5,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Unlocked Malvasia Fina,Quinta do Portal,Malvasia Fina,Douro,Portugal,,4.08,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
30 Anos Tawny Port,Casa Santa Eufemia,Touriga Nacional,Douro,Portugal,,4.65,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Over 40 Years Old Tawny Port,Kopke,Touriga Nacional,Porto,Portugal,,4.46,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Garrafeira,Herdade das Servas,Alicante Bouschet,Alentejano,Portugal,,4.69,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Moscatel Roxo,Xavier Santana,Muscat/Moscatel Roxo,Península de Setúbal,Portugal,,4.31,,Dessert,Full-bodied,High,"['Sweet Dessert', 'Blue Cheese']"
Touriga Nacional,Quilate,Touriga Nacional,Douro,Portugal,,4.21,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Grande Reserva,Quinta do Banco,Touriga Franca,Douro,Portugal,,4.5,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Enxertia Tinta Roriz,Casa da Passarella,Tinta Roriz,Dão,Portugal,,4.04,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Dinamite Blanc de Blancs Super Reserva Brut Nature,Portugal Boutique Winery,Chardonnay,Douro,Portugal,,4.29,,Sparkling,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Encruzado,Casa da Passarella,Encruzado,Dão,Portugal,,4.08,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Terrantez Madeira,Justino's Madeira,Verdelho,Madeira,Portugal,,4.46,,Dessert/Port,Very full-bodied,High,"['Sweet Dessert', 'Appetizer', 'Snack']"
Dalva Ruby Reserve Porto,C. da Silva,Touriga Nacional,Porto,Portugal,,4.12,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
30 Year Old Bual Madeira (Medium Rich),Blandy's,Bual,Bual Madeira,Portugal,,4.58,,Dessert/Port,Very full-bodied,High,"['Sweet Dessert', 'Appetizer', 'Snack']"
Viosinho da Malhadinha Vinha do Olival,Malhadinha Nova,Viosinho,Alentejo,Portugal,,4.29,,White,Medium-bodied,High,"['Pasta', 'Pork', 'Shellfish', 'Lean Fish']"
In Culto Grande Reserva,Pinto Barbosa,Touriga Nacional,Douro,Portugal,,4.29,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Porto Colheita 375 Anniversary,Kopke,Touriga Nacional,Porto,Portugal,,4.83,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
XXI Grande Reserva,Evel,Touriga Nacional,Douro,Portugal,,4.71,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Quinta da Garrida Touriga Nacional Reserva,Aliança,Touriga Nacional,Dão,Portugal,,4.08,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Grande Reserva Tinto,Quinta da Vacaria,Tinta Roriz,Douro,Portugal,,4.75,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Grande Reserva,Castello d'Alba,Touriga Nacional,Douro,Portugal,,4.62,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
20 Anos Tawny Port,Casa Santa Eufemia,Touriga Nacional,Douro,Portugal,,4.14,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Talentvs Porto,Seara d'Ordens,Touriga Nacional,Douro,Portugal,,4.36,,Dessert/Port,Very full-bodied,High,"['Beef', 'Sweet Dessert', 'Blue Cheese']"
Reserva Touriga Nacional,Belmira Cruz,Touriga Nacional,Douro,Portugal,,4.45,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Edição II,Quinta da Extrema,Touriga Nacional,Douro,Portugal,,4.1,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Colheita Selecionada Tinto,Vinhos da Moagem,Syrah/Shiraz,Setúbal,Portugal,,4.0,,Red,Full-bodied,High,"['Beef', 'Pasta', 'Veal', 'Poultry']"
15 Years Medium Rich Bual Madeira,Leacock's,Bual,Madeira,Portugal,,4.09,,Dessert/Port,Very full-bodied,High,"['Sweet Dessert', 'Appetizer', 'Snack']"
Grande Reserva Branco,Pai Horácio,Rabigato,Douro,Portugal,,4.5,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Grande Escolha Tinto,Quinta da Laboeira,Touriga Nacional,Bairrada,Portugal,,4.32,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Poças Fora da Série Ânfora Branco,Poças,Côdega de Larinho,Porto,Portugal,,4.41,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Moscatel Roxo de Setúbal,Brejinho da Costa,Muscat/Moscatel Roxo,Setúbal,Portugal,,4.14,,Dessert,Full-bodied,High,"['Sweet Dessert', 'Blue Cheese']"
Touriga Franca,Desnivel,Touriga Franca,Douro,Portugal,,4.36,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Quinta de Santa Cristina Avesso-Alvarinho,Garantia das Quintas,Avesso,Vinho Verde,Portugal,,4.18,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Guyot Moscatel Galego Branco,Portugal Boutique Winery,Muscat/Moscatel Galego,Douro,Portugal,,4.05,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Colheita Porto,Kranemann,Touriga Nacional,Porto,Portugal,,4.41,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Tinta Roriz,Quinta da Caldeirinha,Tinta Roriz,Beira Interior,Portugal,,4.27,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Amplitude,Pedra Cancela,Touriga Nacional,Dão,Portugal,,4.41,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Special Reserve Porto,Vasconcellos,Touriga Nacional,Douro,Portugal,,4.41,,Dessert/Port,Very full-bodied,High,"['Beef', 'Sweet Dessert', 'Blue Cheese']"
Jaen,Vinhos Cortém,Jaen,Lisboa,Portugal,,4.2,,Red,Full-bodied,High,"['Beef', 'Pasta', 'Veal', 'Poultry']"
Touriga Nacional,Quinta da Cuca,Touriga Nacional,Douro,Portugal,,4.05,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Colheita Tardia,Casa Agricola Portugal,Riesling,Tejo,Portugal,,4.05,,White,Medium-bodied,High,"['Pasta', 'Pork', 'Shellfish', 'Lean Fish']"
Dialog Syrah Blanc de Noir,Quinta dos Vales,Syrah/Shiraz,Algarve,Portugal,,4.15,,White,Medium-bodied,High,"['Pasta', 'Pork', 'Shellfish', 'Lean Fish']"
By Momentos,Luis Duarte,Touriga Nacional,Douro,Portugal,,4.22,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Douro Reserva Tinto,Cartilha,Trousseau,Douro,Portugal,,4.15,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Quinta do Rendeiro Grande Reserva Tinto,Caves Rendeiro,Merlot,Lisboa,Portugal,,4.5,,Red,Full-bodied,High,"['Beef', 'Pasta', 'Veal', 'Poultry']"
Altitude,Val Moreira,Touriga Nacional,Douro,Portugal,,4.45,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Reserva Touriga Nacional,Piano,Touriga Nacional,Douro,Portugal,,4.56,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Tinta Negra 50 Years Old Madeira,Henriques & Henriques,Tinta Negra Mole,Madeira,Portugal,,4.8,,Dessert/Port,Very full-bodied,High,"['Sweet Dessert', 'Appetizer', 'Snack']"
Moscatel Roxo Vinho Generoso,JP,Muscat/Moscatel Roxo,Palmela,Portugal,,4.22,,Dessert/Port,Very full-bodied,High,"['Sweet Dessert', 'Blue Cheese']"
20 Years Old Tawny Port,Feuerheerd's,Tinta Roriz,Douro,Portugal,,4.2,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Colheita Selecionada Alvarinho,Avicella,Alvarinho,Vinho Verde,Portugal,,4.0,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Soulmate Touriga Franca,Cortes do Tua,Touriga Franca,Douro,Portugal,,4.55,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Vinha da Torre,Poeira,Touriga Nacional,Douro,Portugal,,4.1,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
40 Anos Tawny Port,Casa Santa Eufemia,Touriga Nacional,Douro,Portugal,,4.4,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Reserva Tinto,Pessegueiro,Touriga Nacional,Douro,Portugal,,4.45,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Manoella 10 Years White Porto,Wine & Soul,Rabigato,Porto,Portugal,,4.39,,Dessert/Port,Very full-bodied,High,"['Beef', 'Sweet Dessert', 'Blue Cheese']"
20 Year Old Tawny Port,Van Zellers,Touriga Nacional,Porto,Portugal,,4.5,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Basilii,Torre de Palma,Alicante Bouschet,Alentejano,Portugal,,4.0,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Fuseiro Touriga Nacional,Quinta da Fonte Nova,Touriga Nacional,Douro,Portugal,,4.11,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Vinho Verde Vinhas Espumante Rosé,Adega de Monção,Alvarinho,Vinho Verde,Portugal,,4.0,,Sparkling,Medium-bodied,Medium,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Aragonês Alentejano,Joao Portugal Ramos,Aragonez,Alentejo,Portugal,,4.0,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Vintage Porto,Constantino,Tinta Roriz,Douro,Portugal,,4.94,,Dessert/Port,Very full-bodied,Low,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Gene,Kompassus,Baga,Bairrada,Portugal,,4.56,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Série Ímpar Retorto Branco,Sogrape,Arinto de Bucelas,Alentejo,Portugal,,4.72,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Entretantos,Adega Mayor,Alicante Bouschet,Alentejo,Portugal,,4.39,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Fraga d'Ouro Colheita,João da Pesqueira,Touriga Nacional,Douro,Portugal,,4.72,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Touriga Nacional Unoaked,Quinta do Mouro,Touriga Nacional,Alentejano,Portugal,,4.5,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Vinhas Velhas,AdegaMãe,Vital,Lisboa,Portugal,,4.31,,White,Medium-bodied,High,"['Pasta', 'Pork', 'Shellfish', 'Lean Fish']"
Centenary Of Federation Red,Special Winery,Cabernet Sauvignon,Barossa Valley,Australia,,4.22,,Red,Full-bodied,Medium,"['Beef', 'Lamb', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese']"
Reserva Encruzado Unoaked,Dom Vicente,Encruzado,Dão,Portugal,,4.0,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
X.to Reserva Terroir Blend,Quinta do Vale da Ermida,Touriga Nacional,Douro,Portugal,,4.06,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Grande Reserva Tinto,Portal d'Azenha,Touriga Franca,Douro,Portugal,,4.17,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Jaen,2.5 Vinhos de Belmonte,Jaen,Beiras,Portugal,,4.06,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Gold Edition Vinhas Velhas,100 Hectares,Touriga Nacional,Douro,Portugal,,4.12,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Grande Reserva,Monte da Bica,Aragonez,Alentejano,Portugal,,4.38,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Garrafeira Branco,Herdade Aldeia de Cima,Arinto de Bucelas,Alentejo,Portugal,,4.38,,White,Medium-bodied,High,"['Pasta', 'Pork', 'Shellfish', 'Lean Fish']"
Vinhão Tinto,Adega do Sossego,Vinhão,Vinho Verde,Portugal,,4.31,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Unlocked Rosé,Quinta do Portal,Touriga Nacional,Douro,Portugal,,4.25,,Rosé,Full-bodied,Medium,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Grande Reseva Touriga Nacional,Quinta do Jalloto,Touriga Nacional,Douro,Portugal,,4.19,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Premium Portuguese White Wine,Casa Ermelinda Freitas,Chardonnay,Península de Setúbal,Portugal,,4.0,,White,Medium-bodied,High,"['Pasta', 'Pork', 'Shellfish', 'Lean Fish']"
30 Year Old Tawny Port,Van Zellers,Touriga Nacional,Duriense,Portugal,,4.44,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Grande Reserva Branco,Quinta do Portal,Rabigato,Douro,Portugal,,4.25,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Alicante Bouschet,Quinta do Cume,Alicante Bouschet,Douro,Portugal,,4.19,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Unoaked Encruzado,Escudial,Encruzado,Dão,Portugal,,4.0,,White,Light-bodied,High,"['Shellfish', 'Appetizer', 'Snack', 'Lean Fish', 'Cured Meat']"
Grande Reserva Dão Tinto,Borges,Touriga Nacional,Dão,Portugal,,4.38,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Game Meat', 'Poultry']"
Xaino Grande Reserva Tinto,Quinta Vale d'Aldeia,Alicante Bouschet,Douro,Portugal,,4.06,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
50 Years Old Bastardo,Barbeito,Bastardo Magarachsky,Madeira,Portugal,,4.81,,Dessert,Very full-bodied,High,"['Sweet Dessert', 'Appetizer', 'Snack']"
40 Year Old Tawny Port,Van Zellers,Tinto Cão,Duriense,Portugal,,4.06,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Conde de Sabugal Douro,Casa de Santar,Touriga Nacional,Douro,Portugal,,4.12,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Marquês de Montemor Winemaker's Selection,Quinta da Plansel,Tinta Barroca,Evora,Portugal,,4.21,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
40 Anos Years Old Boal,Barbeito,Boal Branco,Madeira,Portugal,,4.79,,Dessert,Very full-bodied,High,"['Sweet Dessert', 'Appetizer', 'Snack']"
Touriga Nacional,Rola,Touriga Nacional,Douro,Portugal,,4.0,,Red,Very full-bodied,High,"['Beef', 'Pasta', 'Lamb', 'Game Meat']"
Colheita Port,Delaforce,Touriga Nacional,Porto,Portugal,,4.36,,Dessert/Port,Very full-bodied,High,"['Beef', 'Maturated Cheese', 'Hard Cheese']"
Special Reserve Porto,Quinta da Sequeira,Touriga Nacional,Porto,Portugal,,4.07,,Dessert/Port,Very full-bodied,High,"['Beef', 'Sweet Dessert', 'Blue Cheese']"
The Friends Collection,Herdade de São Miguel,Alicante Bouschet,Alentejano,Portugal,,4.42,,Red,Full-bodied,High,"['Beef', 'Lamb', 'Veal', 'Poultry']"
Vinho Verde Branco,Quinta de Teamonde,Alvarinho,Vinho Verde,Portugal,,4.0,,White,Very light-bodied,High,"['Shellfish', 'Vegetarian', 'Appetizer', 'Snack']"
